TIME	TOTAL	SOC	CPU	GPU	DDR
.0108785400	1908	457	534	152	480
.4821859550	2404	534	457	152	576
.9552922740	2136	534	457	152	519
1.4274336690	1908	457	457	152	442
1.9000407270	1831	457	457	152	423
2.3720225710	1793	457	457	152	403
2.8451757060	1793	457	534	152	403
3.3156026770	1793	457	457	152	403
3.7876242330	1793	457	457	152	403
4.2597706850	1831	457	534	152	403
4.7324946700	1831	457	534	152	403
5.2043372190	1793	457	534	152	403
5.6763198950	1793	457	534	152	403
6.1481692600	1793	457	534	152	403
6.6202974710	1793	457	534	152	403
7.0921790600	1793	457	534	152	403
7.5641719440	1793	457	534	152	403
8.0355092480	1793	457	534	152	403
8.5075960200	1793	457	534	152	403
8.9796340880	1793	457	534	152	403
9.4525252400	1831	457	534	152	403
9.9237194720	1831	457	534	152	403
10.3957842920	1831	457	534	152	403
10.8678402160	1831	457	534	152	403
11.3398414520	1831	457	534	152	403
11.8118759040	1831	457	534	152	403
12.2840611070	1831	457	534	152	403
12.7567743080	1831	457	534	152	403
13.2289238640	1831	457	534	152	403
13.7001862560	1831	457	534	152	403
14.1729661120	1831	457	534	152	403
14.6441129520	1831	457	534	152	403
15.1163836910	1831	457	534	152	403
15.5885195830	1869	457	534	152	403
16.0607208820	1831	457	534	152	403
16.5327929020	1831	457	534	152	403
17.0048147150	1831	457	534	152	403
17.4769014540	1831	457	534	152	403
17.9489134430	1831	457	534	152	403
18.4212050140	1831	457	534	152	403
18.8932032740	1831	457	534	152	403
19.3663018810	1831	457	534	152	403
19.8373343860	1831	457	534	152	403
20.3094457660	1831	457	534	152	403
20.7824179090	1869	457	534	152	403
21.2543779620	1869	457	534	152	403
21.7258573130	1831	457	534	152	403
22.1977891090	1831	457	534	152	403
22.6706450940	1831	457	534	152	403
23.1419505250	1831	457	534	152	403
23.6140790570	1869	457	534	152	403
24.0862795890	1831	457	534	152	403
24.5591297810	1831	457	534	152	403
25.0303355650	1831	457	534	152	403
