TIME	TOTAL	SOC	CPU	GPU	DDR
.0077320060	5223	838	2362	152	1365
.4793282250	5299	914	1981	152	1555
.9515573700	4537	915	1143	152	1401
1.4238640810	4310	915	838	152	1344
1.8960828250	4233	915	762	152	1344
2.3680129920	4195	915	762	152	1324
2.8400397030	4157	915	686	152	1324
3.3123053250	4157	915	686	152	1324
3.7840783390	4157	915	686	152	1324
4.2575422590	4157	915	686	152	1324
4.7287123630	4157	915	838	152	1382
5.2012399330	4348	915	1067	152	1420
5.6723581950	4994	914	1829	228	1478
6.1440289030	6898	1142	2437	533	2169
6.6158461380	5604	914	2361	305	1516
7.0868714070	5147	838	2362	228	1305
7.5588463360	4994	838	2362	228	1228
8.0299827400	4956	838	2362	152	1209
8.5012354300	4956	838	2362	152	1209
8.9731598620	4918	838	2362	152	1190
9.4443229830	4918	838	2362	152	1190
9.9160045030	4956	838	2362	152	1190
10.3876677500	4956	838	2362	152	1192
10.8592035720	4918	838	2362	152	1192
11.3306247710	4956	838	2362	152	1190
11.8020668320	4956	838	2362	152	1190
12.2735182380	4956	838	2362	152	1192
12.7449983140	4956	838	2362	152	1192
13.2170512200	4956	838	2362	152	1192
13.6880066250	4918	838	2362	152	1192
14.1594688120	4956	838	2362	152	1192
14.6310103580	4956	838	2362	152	1192
15.1024176000	4918	838	2362	152	1192
15.5740646170	4918	838	2362	152	1192
16.0456192810	4956	838	2362	152	1192
16.5172078960	4918	838	2362	152	1192
16.9886617280	4956	838	2362	152	1192
17.4602906940	4956	838	2362	152	1192
17.9318237880	4918	838	2362	152	1192
18.4034948650	4956	838	2362	152	1192
18.8747212070	4994	838	2362	152	1192
19.3467838980	4956	838	2362	152	1192
19.8178217910	4956	838	2362	152	1192
20.2898665290	4956	838	2362	152	1192
20.7607994300	4956	838	2362	152	1192
21.2321791120	4956	838	2362	152	1192
21.7045292550	4918	838	2362	152	1192
22.1761042960	4956	838	2362	152	1192
22.6475728720	4956	838	2362	152	1192
23.1191259280	4956	838	2362	152	1192
23.5909097020	4956	838	2362	152	1192
24.0626249010	4956	838	2362	152	1192
24.5335667570	4956	838	2362	152	1190
25.0055174090	4956	838	2362	152	1190
25.4766031670	4956	838	2362	152	1190
25.9482236440	4956	838	2362	152	1190
26.4196762800	4956	838	2362	152	1190
26.8911844030	4956	838	2362	152	1190
27.3631460290	4956	838	2362	152	1190
27.8345103110	4956	838	2362	152	1192
28.3054949150	4956	838	2362	152	1192
28.7771468760	4956	838	2362	152	1192
29.2489178120	4994	838	2362	152	1192
29.7198258060	4956	838	2362	152	1192
30.1918202280	4956	838	2362	152	1192
30.6628859800	4994	838	2362	152	1192
31.1344650100	4994	838	2362	152	1192
31.6060083600	4956	838	2362	152	1192
32.0774002220	4956	838	2362	152	1192
32.5488726590	4956	838	2362	152	1192
33.0202367120	4956	838	2362	152	1192
33.4917971150	4956	838	2362	152	1192
33.9634431180	4994	838	2362	152	1192
34.4349334080	4956	838	2362	152	1192
34.9069657760	4956	838	2362	152	1192
35.3778032040	4956	838	2362	152	1192
35.8493169810	4956	838	2362	152	1192
36.3212726120	4956	838	2362	152	1192
36.7923951890	4956	838	2362	152	1192
37.2644100190	4956	838	2362	152	1192
37.7355135870	4956	838	2362	152	1192
38.2069547210	4956	838	2362	152	1211
38.6785109910	4956	838	2362	152	1209
39.1502631630	4994	838	2362	152	1190
39.6215768720	4956	838	2362	152	1190
40.0930949960	4956	838	2362	152	1190
40.5645316800	4956	838	2362	152	1209
41.0360278190	4956	838	2362	152	1190
41.5075727890	4956	838	2362	152	1190
41.9790774070	4956	838	2362	152	1192
42.4505961680	4956	838	2362	152	1192
42.9220815530	4956	838	2362	152	1192
43.3934940740	4956	838	2362	152	1190
43.8650640010	4918	838	2362	152	1192
44.3371741180	4956	838	2362	152	1211
44.8080454550	4956	838	2362	152	1192
45.2798778760	4956	838	2362	152	1192
45.7513252420	4956	838	2362	152	1192
46.2233735650	4956	838	2362	152	1192
46.6942536990	4918	838	2362	152	1192
47.1662584060	4956	838	2362	152	1190
47.6371547310	4956	838	2362	152	1190
48.1087697740	4956	838	2362	152	1192
48.5803735830	4956	838	2362	152	1192
49.0523269600	4956	838	2362	152	1190
49.5233606900	4956	838	2362	152	1192
49.9952228020	4994	838	2362	152	1190
50.4661689160	4956	838	2362	152	1190
50.9376485640	4956	838	2362	152	1190
51.4093204340	5223	838	2362	152	1190
51.8807935530	5376	838	2362	152	1190
52.3522699030	5414	838	2362	152	1190
52.8246924570	5604	838	2590	152	1209
53.2956359440	5147	838	2439	152	1209
53.7675293470	4994	838	2362	152	1209
54.2384046100	4956	838	2362	152	1190
54.7100528280	4956	838	2362	152	1190
55.1813176880	4956	838	2362	152	1190
55.6528860980	4956	838	2362	152	1190
56.1249378980	4956	838	2362	152	1192
56.5958733810	4956	838	2362	152	1190
57.0673475510	4956	838	2362	152	1192
57.5388669990	4956	838	2362	152	1192
58.0107515010	4956	838	2362	152	1192
58.4817693820	4994	838	2362	152	1192
58.9533154850	4956	838	2362	152	1192
59.4247954750	4956	838	2362	152	1192
59.8969816700	4956	838	2362	152	1192
60.3681061080	4956	838	2362	152	1192
60.8394220980	4956	838	2362	152	1192
61.3109695090	4956	838	2362	152	1192
61.7828088560	4956	838	2362	152	1192
62.2537661570	4956	838	2362	152	1192
62.7253242870	4956	838	2362	152	1192
63.1968276650	4956	838	2362	152	1192
63.6683385940	4956	838	2362	152	1192
64.1398926910	4956	838	2362	152	1192
64.6114389150	4956	838	2362	152	1192
65.0830802110	4956	838	2362	152	1192
65.5544556820	4994	838	2362	152	1192
66.0259841460	4956	838	2362	152	1192
66.4974666560	4956	838	2362	152	1192
66.9694127160	4956	838	2362	152	1192
67.4404318990	4956	762	2362	152	1192
67.9119050320	4956	838	2362	152	1192
68.3834717960	4956	838	2362	152	1192
68.8553368940	4956	838	2362	152	1192
69.3262949880	4956	838	2362	152	1192
69.7983260680	4956	838	2362	152	1192
70.2694283520	4956	838	2362	152	1192
70.7407648100	4956	838	2362	152	1192
71.2122768840	4956	838	2362	152	1192
71.6838168920	4956	838	2362	152	1192
72.1552090290	4994	838	2362	152	1192
72.6271877550	4956	838	2362	152	1192
73.0986733940	4956	838	2362	152	1192
73.5695265870	4956	838	2362	152	1192
74.0409974410	4956	838	2362	152	1192
74.5125160070	4956	838	2362	152	1192
74.9839552120	4956	838	2362	152	1192
75.4557582870	4956	838	2362	152	1192
75.9270533640	4956	838	2362	152	1192
76.3986551280	4956	838	2362	152	1192
76.8705155770	4956	838	2362	152	1192
77.3414400620	4956	838	2362	152	1192
77.8129821120	4956	838	2362	152	1192
78.2844519060	4956	838	2362	152	1192
78.7563419530	4956	838	2362	152	1211
79.2278182740	4956	838	2362	152	1192
79.6993754580	4956	838	2362	152	1190
80.1709071370	4956	838	2362	152	1192
80.6430467500	4956	838	2362	152	1192
81.1139167030	4956	838	2362	152	1192
81.5852004780	4956	838	2362	152	1192
82.0567427470	4956	838	2362	152	1192
82.5288175260	4956	838	2362	152	1192
82.9997566610	4956	838	2362	152	1192
83.4713140000	4956	838	2362	152	1192
83.9432410350	4956	838	2362	152	1192
84.4141943760	4956	838	2362	152	1192
84.8856907540	4956	838	2362	152	1192
85.3572653400	4956	838	2362	152	1192
85.8290803400	4994	838	2362	152	1192
86.3008788600	4994	838	2362	152	1192
86.7719211270	4956	838	2362	152	1192
87.2433641270	4956	838	2362	152	1192
87.7153662290	4956	838	2362	152	1192
88.1869298040	4956	838	2362	152	1192
88.6577662760	4956	838	2362	152	1192
89.1293169860	4956	838	2362	152	1192
89.6009347990	4994	838	2362	152	1192
90.0729050910	4994	838	2362	152	1192
90.5439751610	4956	838	2362	152	1192
91.0154883650	4994	838	2362	152	1192
91.4870563200	4994	838	2362	152	1192
91.9584683720	4956	838	2362	152	1192
92.4299557830	4956	838	2362	152	1192
92.9013690810	4956	838	2362	152	1192
93.3730491940	4956	838	2362	152	1192
93.8448829060	4956	838	2362	152	1192
94.3160439480	4994	838	2362	152	1192
94.7875708760	4956	838	2362	152	1192
95.2595776420	4956	838	2362	152	1192
95.7305830030	4956	838	2362	152	1192
96.2022155290	4956	838	2362	152	1192
96.6735261680	4956	838	2362	152	1192
97.1450101180	4956	838	2362	152	1192
97.6170029930	4956	838	2362	152	1192
98.0879582400	4956	838	2362	152	1190
98.5595590520	4956	838	2362	152	1192
99.0311087280	4956	838	2362	152	1192
99.5026809950	4956	838	2362	152	1192
99.9741511820	4994	838	2362	152	1192
100.4456827760	4956	838	2362	152	1192
100.9172441300	4956	838	2362	152	1192
101.3892980250	4956	838	2362	152	1192
101.8603721800	4956	838	2362	152	1192
102.3318862680	4956	838	2362	152	1190
102.8034096680	4956	838	2362	152	1190
103.2748023160	4956	838	2362	152	1190
103.7464384500	4956	838	2362	152	1190
104.2179388090	4956	838	2362	152	1190
104.6894768940	4956	838	2362	152	1192
105.1611048680	4956	838	2362	152	1209
105.6325376090	4956	838	2362	152	1190
106.1041753090	4994	838	2362	152	1190
106.5763242710	4956	838	2362	152	1190
107.0477029630	4956	838	2362	152	1190
107.5190155110	4956	762	2362	152	1190
107.9900158350	4956	838	2362	152	1190
108.4620179470	4956	838	2362	152	1190
108.9329295990	4956	838	2362	152	1190
109.4049360630	4956	838	2362	152	1190
109.8762305920	4956	838	2362	152	1190
110.3476866250	4956	838	2362	152	1190
110.8187584340	4956	838	2362	152	1190
111.2908423990	4956	838	2362	152	1190
111.7617885120	4956	838	2362	152	1190
112.2336928610	4956	838	2362	152	1190
112.7046103330	4956	838	2362	152	1190
113.1765780730	4956	838	2362	152	1190
113.6480075420	4956	838	2362	152	1190
