TIME	TOTAL	SOC	CPU	GPU	DDR
.0105227820	3623	610	1143	152	807
.4815898030	3585	610	991	152	826
.9534741640	3623	610	1143	152	788
1.4254633570	3623	610	1143	152	788
1.8973488710	3623	610	1220	152	788
2.3692259680	3623	610	1220	152	788
2.8410510340	3623	610	1220	152	788
3.3130265310	3623	610	1220	152	788
3.7849279160	3623	610	1220	152	788
4.2568102610	3623	610	1220	152	788
4.7288012460	3623	610	1220	152	788
5.2005456390	3623	610	1220	152	788
5.6722822560	3585	610	1220	152	788
6.1442738170	3585	610	1220	152	788
6.6161663060	3585	610	1220	152	788
7.0880647780	3585	610	1220	152	788
7.5599679870	3547	610	1220	152	788
8.0318106190	3547	610	1220	152	788
8.5036277480	3585	610	1220	152	788
8.9755998840	3547	610	1220	152	788
9.4475728200	3585	610	1220	152	788
9.9197013710	3585	610	1220	152	788
10.3913593640	3585	610	1067	152	826
10.8635503470	4119	610	1067	610	923
11.3361215530	3738	610	1143	305	826
11.8075897860	3623	610	1143	228	788
12.2791750110	3585	610	1220	152	788
12.7510346350	3585	610	1220	152	788
13.2228785470	3547	610	1220	152	788
13.6950710010	3585	610	1220	152	788
14.1669142410	3585	610	1220	152	788
14.6387780890	3585	610	1220	152	788
15.1109055510	3585	610	1220	152	788
15.5831179740	3547	610	1220	152	788
