TIME	TOTAL	SOC	CPU	GPU	DDR
.0116423620	3661	610	1143	152	846
.4826529870	3699	610	686	152	903
.9555723420	3699	610	533	152	923
1.4282072820	3699	610	457	152	923
1.9021005540	3699	610	533	152	961
2.3722035980	4005	610	991	228	1000
2.8439339960	3776	610	1143	152	846
3.3157134510	3661	610	1143	152	807
3.7876951760	3585	610	1143	152	788
4.2594817990	3547	610	1143	152	788
4.7313374760	3547	610	1143	152	788
5.2033768020	3547	610	1143	152	788
5.6752771510	3547	610	1143	152	788
6.1470340130	3547	610	1143	152	788
6.6188063630	3547	610	1220	152	788
7.0909564400	3547	610	1220	152	788
7.5626143260	3547	610	1220	152	788
8.0345359230	3547	610	1220	152	788
8.5070129750	3547	610	1143	152	788
8.9781614860	3509	610	1143	152	769
9.4499686840	3509	610	1143	152	769
9.9218242650	3509	610	1143	152	769
10.3936962620	3509	610	1143	152	769
10.8662891210	3509	610	1143	152	769
11.3380777900	3509	610	1143	152	769
11.8098373390	3509	610	1143	152	769
12.2816349360	3509	610	1143	152	769
12.7526982640	3547	610	1143	152	769
13.2245801170	3509	610	1143	152	769
13.6964648490	3509	610	1143	152	769
14.1682896780	3509	610	1143	152	788
14.6402627620	3509	610	1143	152	769
15.1127770280	3509	610	1143	152	788
15.5846458570	3509	610	1143	152	788
16.0558131190	3509	610	1143	152	788
16.5277639950	3509	610	1143	152	769
16.9996390960	3509	610	1143	152	769
17.4717808190	3509	610	1143	152	788
17.9435108950	3509	610	1143	152	769
18.4159292580	3509	610	1143	152	788
18.8876925500	3509	610	1143	152	769
19.3590247400	3509	610	1143	152	769
19.8309052470	3509	610	1143	152	769
20.3026432920	3509	610	1143	152	769
20.7744992870	3509	610	1143	152	769
21.2470092650	3509	610	1143	152	769
21.7181001750	3509	610	1143	152	769
22.1899869220	3509	610	1143	152	788
22.6619141500	3509	610	1143	152	769
23.1336669460	3509	610	1143	152	769
23.6055690530	3509	610	1143	152	769
24.0774031920	3509	610	1143	152	769
24.5491931720	3509	610	1143	152	769
25.0210945430	3509	610	1143	152	769
25.4929202020	3509	610	1143	152	769
25.9649542760	3509	610	1143	152	788
26.4369210870	3509	610	1143	152	769
26.9087950980	3509	610	1143	152	769
27.3812308350	3509	610	1143	152	769
27.8531710530	3509	610	1143	152	769
28.3249189840	3509	610	1143	152	769
28.7960995250	3509	610	1143	152	769
29.2680615680	3509	610	1143	152	769
29.7401970490	3509	610	1143	152	788
30.2119412360	3547	610	1143	152	788
30.6844286520	3547	610	1143	152	788
31.1556558490	3547	610	1143	152	788
31.6276180510	3547	610	1143	152	788
32.1002238670	3547	610	1143	152	788
32.5713938470	3547	610	1143	152	788
33.0435676960	3547	610	1143	152	788
33.5153185710	3547	610	1143	152	788
33.9871976680	3547	610	1143	152	788
