TIME	TOTAL	SOC	CPU	GPU	DDR
.0209119930	3890	610	1906	152	826
.5008097510	3852	610	1830	152	826
.9809854910	3966	610	2058	152	788
1.4590193960	3966	610	2058	152	788
1.9393907510	3966	610	2058	152	788
2.4163229390	3890	610	1982	152	788
2.8945361710	3966	610	2058	152	788
3.3733520530	4005	610	2135	152	788
3.8516163900	3966	610	2058	152	788
4.3292099160	3890	610	1982	152	788
4.8077018350	3928	610	2058	152	788
5.2865340380	3814	610	1982	152	788
5.7652117480	3928	610	2058	152	788
6.2435580690	3966	610	2058	152	788
6.7222366430	3852	610	1982	152	788
7.2025331210	3852	610	1982	152	788
7.6799875480	3814	610	1982	152	788
8.1571542650	3890	610	1906	152	826
8.6358655760	4310	610	1753	610	903
9.1142755140	4119	610	2058	305	826
9.5930315920	4043	610	2135	228	788
10.0716902010	4005	610	2135	152	788
10.5492233480	4005	610	2135	152	788
11.0279187560	4005	610	2135	152	788
11.5061843770	3966	610	2135	152	788
11.9851964870	3890	610	2058	152	788
