TIME	TOTAL	SOC	CPU	GPU	DDR
.0099862860	3966	610	1982	152	846
.5047808820	3585	610	1067	152	923
.9799113150	3471	610	762	152	923
1.4495458820	3432	610	686	152	923
1.9284690580	3432	610	686	152	942
2.4035823920	4119	610	1677	228	1000
2.8817221290	4005	610	1906	152	865
3.3598709540	4005	610	2058	152	807
3.8390967660	3966	610	2058	152	788
4.3172557880	3852	610	1982	152	788
4.7961546440	3814	610	1982	152	788
5.2740903910	3928	610	2058	152	788
5.7527585160	3966	610	2058	152	788
6.2309256120	3966	610	2058	152	788
6.7095934390	4195	610	2058	152	788
7.1884443030	4272	610	1981	152	788
7.6670462960	4384	610	2058	152	788
8.1517933350	4272	610	1981	152	788
8.6180423360	3890	610	1906	152	788
9.1091021920	3928	610	1982	152	788
9.5880494140	3852	610	1982	152	788
10.0660607860	3928	610	2058	152	788
10.5444052120	3890	610	1982	152	788
11.0237540180	3928	610	2058	152	788
11.5011472940	3966	610	2135	152	788
11.9799221990	4005	610	2135	152	788
12.4578673070	4005	610	2135	152	788
12.9385440660	4005	610	2058	152	788
13.4300376060	3852	610	1982	152	788
13.8992860170	3928	610	2058	152	788
14.3776883870	3966	610	2058	152	788
14.8564304280	3852	610	1982	152	788
15.3350413320	3890	610	2058	152	788
15.8136411230	3814	610	1906	152	788
16.2923740650	3814	610	1982	152	788
16.7708340690	3890	610	2058	152	788
17.2483500990	3966	610	2135	152	788
17.7268157250	3966	610	2058	152	788
18.2040589110	3966	610	2135	152	788
18.6826520800	3966	610	2058	152	788
19.1609105560	3966	610	2135	152	788
19.6398059890	4005	610	2135	152	788
20.1178467250	4005	610	2058	152	788
20.5986904440	3852	610	1982	152	788
21.0774765160	3814	610	1906	152	788
21.5569695000	3928	610	2058	152	788
22.0347366770	3966	610	2058	152	788
22.5126451010	3890	610	2058	152	788
22.9906648130	3928	610	2058	152	788
23.4694608780	3814	610	1982	152	788
23.9484256710	3814	610	1982	152	788
24.4273122550	3928	610	2058	152	788
24.9054316590	3966	610	2058	152	788
25.3843067450	3852	610	1982	152	788
25.8629341400	3852	610	1982	152	788
26.3414571500	3928	610	2058	152	788
26.8213128600	3852	610	1982	152	788
27.2991383850	3814	610	1982	152	788
27.7774017270	3928	610	2058	152	788
28.2561736130	3890	610	1982	152	788
28.7347430910	3928	610	2058	152	788
29.2131100690	3966	610	2135	152	788
29.6917393770	3966	610	2135	152	788
30.1699891280	3966	610	2135	152	788
30.6487000280	3966	610	2135	152	788
31.1272766810	4005	610	2135	152	788
31.6077724740	4005	610	2135	152	788
32.0849300080	4005	610	2135	152	788
32.5608473730	4005	610	2135	152	788
33.0411810690	4005	610	2135	152	788
33.5196020190	4005	610	2135	152	788
33.9980366250	4005	610	2135	152	788
34.4785719090	3966	610	2058	152	788
34.9573679780	3814	610	1982	152	788
35.4363796630	3814	610	1982	152	788
35.9145900550	3890	610	2058	152	788
36.3931429130	3928	610	2058	152	788
36.8705450680	3928	610	2058	152	788
37.3504151360	3814	610	1982	152	788
37.8291160700	3928	610	2058	152	788
38.3075164910	3966	610	2135	152	788
38.7855170930	3966	610	2058	152	788
39.2643146570	3852	610	1982	152	788
39.7426180670	3928	610	2058	152	788
40.2197652140	3928	610	2058	152	788
40.6985476250	3928	610	2058	152	788
41.1772897760	3852	610	1982	152	788
41.6567135550	3852	610	1982	152	788
42.1350792780	3928	610	2058	152	788
42.6154694520	3928	610	2058	152	788
43.0922351910	3966	610	2135	152	788
43.5709298940	3966	610	2058	152	788
44.0497130380	3852	610	1982	152	788
44.5284625150	3814	610	1982	152	788
45.0064543820	3928	610	2058	152	788
45.4851396900	3928	610	2058	152	788
45.9638675180	3852	610	1982	152	788
46.4426190240	3890	610	2058	152	788
46.9214515140	3852	610	1982	152	788
47.3995841930	3928	610	2058	152	788
47.8790054430	3966	610	2135	152	788
48.3560358690	4005	610	2135	152	788
