TIME	TOTAL	SOC	CPU	GPU	DDR
.0171034750	4005	610	1906	152	961
.4950124980	4348	686	1829	152	1134
.9765476730	3928	610	1296	152	1000
1.4556802710	3814	610	1067	152	961
1.9322533340	3776	610	991	152	942
2.4151192830	3776	610	991	152	923
2.8899183080	3738	610	991	152	921
3.3755939670	3738	610	1143	152	940
3.8518609180	3814	610	1143	152	940
4.3313536710	3814	610	1220	152	942
4.8187333500	3928	610	1448	152	961
5.3248392450	3966	610	1296	152	942
5.8177400400	3928	610	1448	152	961
6.2856168340	4689	686	1753	305	1324
6.7624734420	5337	762	2058	381	1497
7.2430212270	4348	610	2058	228	998
7.7204772540	4119	610	2058	152	865
8.1989299790	3928	610	2058	152	807
8.6774142880	3966	610	2058	152	807
9.1571186200	3890	610	2058	152	788
9.6338271630	3928	610	2058	152	788
10.1137072050	3890	610	1982	152	788
10.5923160230	3966	610	2058	152	788
11.0721430400	3890	610	1982	152	788
11.5508815530	3890	610	2058	152	788
12.0288939890	3928	610	2058	152	788
12.5076072210	3890	610	2058	152	788
12.9860873660	3928	610	2058	152	788
13.4642781040	3966	610	2058	152	788
13.9431257970	4005	610	2135	152	788
14.4224506710	4005	610	2135	152	788
14.8999223730	4005	610	2135	152	788
15.3781827730	4005	610	2135	152	788
15.8564035250	3966	610	2058	152	788
16.3369879730	4233	610	1982	152	788
16.8165141880	4384	610	2058	152	788
17.2968552130	4348	610	1981	152	788
17.7883251910	4233	610	2058	152	807
18.2488622780	3966	610	1982	152	807
18.7381745090	4005	610	2058	152	788
19.2163110350	3966	610	2058	152	788
19.6963564760	3890	610	1982	152	788
20.1741422510	3890	610	1982	152	788
20.6525505500	3966	610	2058	152	788
21.1308264330	4005	610	2135	152	788
21.6091583160	4005	610	2058	152	788
22.0881826730	3928	610	2058	152	788
22.5667077700	3966	610	2135	152	788
23.0441812570	3966	610	2058	152	788
23.5284101240	3890	610	1982	152	788
24.0068055560	3890	610	2058	152	788
24.4850649880	3966	610	2058	152	788
24.9645394210	3890	610	1982	152	788
25.4432496020	3890	610	2058	152	788
25.9215539610	3966	610	2058	152	788
26.3995744180	3890	610	2058	152	788
26.8777296570	3966	610	2058	152	788
27.3565808590	3890	610	1982	152	788
27.8350793920	3966	610	2058	152	788
28.3135037160	3966	610	2058	152	788
28.7923587900	3890	610	1982	152	788
29.2705255470	3890	610	2058	152	788
29.7511286720	3966	610	2135	152	788
30.2305067810	4005	610	2135	152	788
30.7069010360	4005	610	2135	152	788
31.1850744160	3966	610	2058	152	788
31.6644773880	3890	610	1982	152	788
32.1428489090	3966	610	2058	152	788
32.6214670530	4005	610	2058	152	788
33.1002711470	3890	610	1982	152	788
33.5791045530	3890	610	2058	152	788
34.0574177690	3928	610	2058	152	788
34.5363571890	3890	610	1982	152	788
35.0151611860	3852	610	1982	152	788
35.4944579470	4005	610	2135	152	788
35.9721366380	4005	610	2135	152	788
36.4504400930	4005	610	2135	152	788
36.9286076120	3966	610	2058	152	788
37.4076648850	3890	610	2058	152	788
37.8858293000	3928	610	2058	152	788
38.3649373550	3890	610	1982	152	788
38.8430187940	3966	610	2135	152	788
39.3214612210	3966	610	2135	152	788
39.7996962260	4005	610	2135	152	788
40.2779712290	3966	610	2135	152	788
40.7565306150	3966	610	2058	152	788
41.2364781510	3890	610	1982	152	788
41.7144931870	3890	610	2058	152	788
42.1926722540	3966	610	2058	152	788
42.6711582310	4005	610	2135	152	788
43.1494519840	3966	610	2058	152	788
43.6290886730	3928	610	1982	152	788
44.1075470320	3890	610	2058	152	788
44.5858467690	3966	610	2058	152	788
45.0630129440	4005	610	2135	152	788
45.5411303120	4005	610	2135	152	788
46.0205071290	3966	610	2135	152	788
46.4982948350	4005	610	2135	152	788
46.9768895750	4005	610	2135	152	788
47.4571225450	3966	610	2058	152	788
47.9355092860	3890	610	2058	152	788
48.4136638360	3966	610	2058	152	788
48.8925356290	3890	610	1982	152	788
49.3717399000	3890	610	2058	152	788
49.8498857130	3966	610	2058	152	788
50.3289046400	3852	610	1982	152	788
50.8076241130	3890	610	2058	152	788
51.2867075510	3966	610	2135	152	788
51.7643913810	3966	610	2058	152	788
52.2431154610	3928	610	2058	152	788
52.7213927590	3966	610	2058	152	788
53.1999078150	4005	610	2135	152	788
53.6783567590	4043	610	2135	152	788
54.1567329670	4005	610	2058	152	788
54.6350766320	4005	610	2135	152	788
55.1131557210	4005	610	2135	152	788
55.5922708030	3890	610	1982	152	788
56.0713730220	3890	610	2058	152	788
56.5504404240	3966	610	2135	152	788
57.0272974400	4005	610	2135	152	788
57.5062358500	4043	610	2135	152	788
57.9849663570	4005	610	2135	152	788
58.4644657540	3890	610	2058	152	788
58.9435252190	3890	610	2058	152	788
59.4222506690	3966	610	2135	152	788
59.9011199250	3966	610	2135	152	788
60.3841387870	4005	610	2058	152	788
60.8620442090	3890	610	1982	152	788
61.3408385210	3928	610	2058	152	788
61.8198567670	3890	610	2058	152	788
62.3105824580	3966	610	2135	152	788
62.7821358230	4005	610	2135	152	788
63.2580019610	4005	610	2135	152	788
63.7355762150	4043	610	2135	152	788
64.2137120330	4005	610	2135	152	788
64.6909878250	4005	610	2135	152	788
65.1696339430	3966	610	2135	152	788
65.6483335000	3890	610	1982	152	788
66.1271735680	3928	610	2058	152	788
66.6055158790	3966	610	2058	152	788
67.0854113000	3890	610	1982	152	788
67.5632452940	3890	610	2058	152	788
68.0410113830	3966	610	2058	152	788
68.5184997460	3966	610	2058	152	788
68.9985323490	3890	610	2058	152	788
69.4770011530	3966	610	2058	152	788
69.9555266280	4005	610	2135	152	788
70.4337469850	3966	610	2058	152	788
70.9127190170	3890	610	1982	152	788
71.3907872780	3928	610	2058	152	788
71.8711327720	3966	610	2135	152	788
72.3510150690	4005	610	2135	152	788
72.8284390130	3966	610	2058	152	788
73.3070518770	4005	610	2135	152	788
73.7850467610	4005	610	2135	152	788
74.2640319100	4005	610	2135	152	788
74.7418260590	4005	610	2135	152	788
75.2188340040	4005	610	2135	152	788
75.6971406610	4005	610	2058	152	788
76.1755936520	3928	610	2058	152	788
76.6537868680	3966	610	2058	152	788
77.1327791190	3890	610	1982	152	788
77.6123530940	3852	610	1982	152	788
78.0905755890	3890	610	2058	152	788
78.5685302140	3928	610	2058	152	788
79.0470282910	3890	610	2058	152	788
79.5251096660	3966	610	2058	152	788
80.0030582740	4005	610	2135	152	788
80.4810796160	3966	610	2135	152	788
80.9597501390	4005	610	2135	152	788
81.4382493340	4005	610	2135	152	788
81.9165803370	3966	610	2135	152	788
82.3955758160	3966	610	2058	152	788
82.8737461810	3966	610	2058	152	788
83.3522089260	3966	610	2058	152	788
83.8311660050	3928	610	2058	152	788
84.3094690070	3966	610	2058	152	788
84.7876480740	4005	610	2135	152	788
85.2659930270	4005	610	2135	152	788
85.7443142040	4005	610	2135	152	788
86.2233360480	3928	610	2058	152	788
86.7017505040	3966	610	2058	152	788
87.1799927360	3966	610	2135	152	788
87.6583573990	4005	610	2135	152	788
88.1377246480	4005	610	2135	152	788
88.6149565500	4005	610	2135	152	788
89.0935828430	3966	610	2058	152	788
89.5723189260	3890	610	1982	152	788
90.0506286440	3966	610	2135	152	788
90.5287243470	3966	610	2058	152	788
91.0073137750	3928	610	2058	152	788
91.4857871060	3966	610	2058	152	788
91.9645815880	3890	610	1982	152	788
92.4433897330	3890	610	2058	152	788
92.9214294030	3928	610	2058	152	788
