TIME	TOTAL	SOC	CPU	GPU	DDR
.0243188300	3509	610	457	1144	884
.4931500450	3509	610	1220	534	826
.9757188550	3432	610	1448	305	788
1.4546373570	3471	610	1601	228	788
1.9334464840	3432	610	1525	152	788
2.4121016610	3509	610	1677	152	788
2.8906977990	3585	610	1677	152	788
3.3695267030	3509	610	1601	152	788
3.8485724700	3471	610	1601	152	788
4.3273045760	3547	610	1677	152	788
4.8044917020	3509	610	1677	152	788
5.2832774720	3471	610	1601	152	788
5.7616895180	3509	610	1677	152	788
6.2406473840	3585	610	1677	152	788
6.7194863400	3585	610	1677	152	788
7.1970064900	3585	610	1753	152	788
7.6764276820	3623	610	1753	152	788
8.1545391560	3623	610	1677	152	788
8.6334973450	3547	610	1601	152	788
9.1118280500	3585	610	1677	152	788
9.5906345610	3585	610	1677	152	788
10.0692977770	3509	610	1601	152	788
10.5480268170	3471	610	1601	152	788
11.0265597950	3547	610	1677	152	788
11.5055025300	3509	610	1601	152	788
11.9839558300	3509	610	1601	152	788
12.4627317830	3547	610	1677	152	788
12.9427646240	3585	610	1677	152	788
13.4203562990	3547	610	1601	152	788
13.8986739220	3585	610	1677	152	788
14.3775223560	3509	610	1601	152	788
14.8561549210	3509	610	1601	152	788
15.3348031980	3547	610	1677	152	788
15.8116365140	3509	610	1601	152	788
16.2915236310	3471	610	1601	152	788
16.7699515270	3547	610	1677	152	788
17.2490045710	3509	610	1601	152	788
17.7275496830	3547	610	1677	152	788
18.2095031230	3585	610	1677	152	788
18.6876471830	3547	610	1677	152	788
19.1693292340	3585	610	1677	152	788
19.6445296360	3585	610	1677	152	788
20.1228861760	3585	610	1677	152	788
20.5990712440	3547	610	1677	152	788
21.0787927030	3585	610	1677	152	788
21.5573181070	3585	610	1677	152	788
22.0366133620	3509	610	1601	152	788
22.5147494900	3547	610	1677	152	788
22.9934175190	3432	610	1525	152	788
23.4720013880	3471	610	1601	152	788
23.9504870190	3547	610	1677	152	788
24.4288285220	3509	610	1601	152	788
24.9080774450	3547	610	1677	152	788
25.3860873040	3547	610	1677	152	788
25.8647731910	3509	610	1601	152	788
26.3433098630	3547	610	1677	152	788
26.8216038820	3547	610	1677	152	788
27.3004198490	3509	610	1677	152	788
27.7788990510	3547	610	1677	152	788
28.2566628350	3509	610	1677	152	788
28.7360648160	3547	610	1677	152	788
29.2135468420	3585	610	1677	152	788
29.6924822990	3509	610	1601	152	788
30.1711654700	3585	610	1677	152	788
30.6501572150	3585	610	1677	152	788
31.1288791070	3585	610	1677	152	788
31.6071036580	3547	610	1677	152	788
32.0857677910	3471	610	1601	152	788
32.5643689810	3547	610	1677	152	788
33.0430556750	3547	610	1677	152	788
33.5213562590	3547	610	1677	152	788
34.0008706920	3509	610	1601	152	788
34.4787544800	3547	610	1677	152	788
34.9571358340	3547	610	1677	152	788
35.4358234900	3547	610	1677	152	788
35.9152233970	3585	610	1677	152	788
36.3939041090	3547	610	1677	152	788
36.8728179090	3776	610	1601	228	903
37.3567211450	4308	610	838	1601	884
37.8339188930	4613	609	381	2363	884
38.3132893630	4727	609	228	2592	884
38.7981045290	4766	609	228	2668	884
39.2842783100	4766	609	228	2668	884
39.7631678560	4766	609	152	2668	884
40.2471568220	4766	609	228	2668	884
40.7324403070	4766	609	152	2745	884
41.2136070540	4766	609	152	2745	884
41.6905872080	4766	609	152	2745	884
42.1775263300	4804	609	228	2745	884
42.6535938510	4804	609	228	2745	884
43.1326863430	4804	609	228	2745	884
43.6094874600	4804	609	152	2745	903
44.0868209570	4804	609	152	2745	903
44.5676424620	4842	609	228	2745	903
45.0405518960	4880	609	228	2745	923
45.5072655680	4272	610	838	1373	1000
