TIME	TOTAL	SOC	CPU	GPU	DDR
.0229052220	3699	610	1220	610	884
.5030854120	3661	610	1601	305	826
.9810972010	3623	610	1677	228	788
1.4595779780	3661	610	1753	152	788
1.9379100210	3661	610	1753	152	788
2.4166520450	3661	610	1753	152	788
2.8954004380	3699	610	1753	152	788
3.3750366640	3623	610	1753	152	788
3.8530511100	3661	610	1753	152	788
4.3317014880	3585	610	1753	152	788
4.8099613080	3623	610	1753	152	788
5.2865858120	3661	610	1753	152	788
5.7653374060	3623	610	1753	152	788
6.2565958910	3699	610	1830	152	788
6.7351977900	3738	610	1830	152	788
7.2139947920	3738	610	1677	228	865
7.6847047450	4157	610	1220	1144	884
8.1598658030	4651	609	609	2211	884
8.6312967750	4310	610	457	1906	903
