TIME	TOTAL	SOC	CPU	GPU	DDR
.0083008750	4081	610	1143	610	884
.4891426520	3661	610	1448	305	826
.9652432110	3699	610	1753	152	807
1.4407330850	3661	610	1830	152	788
1.9159907050	3699	610	1830	152	788
2.3909171920	3699	610	1830	152	788
2.8670607260	3699	610	1906	152	788
3.3414405920	3699	610	1906	152	788
3.8170057300	3699	610	1830	152	788
4.2923886940	3699	610	1906	152	788
4.7677868890	3699	610	1830	152	788
5.2429631980	3661	610	1830	152	788
5.7178938120	3661	610	1830	152	788
6.1933535750	3966	610	1830	152	788
6.6692166320	4119	610	1829	152	846
7.1425810800	4537	610	2058	152	884
7.6301108470	4994	609	838	2135	884
8.1057423530	5452	609	381	2896	923
