TIME	TOTAL	SOC	CPU	GPU	DDR
.0098821700	2937	534	305	1144	596
.4813069800	2175	457	381	457	480
.9543210630	1908	457	457	228	442
1.4258680460	1831	457	457	152	423
1.8986298080	1793	457	457	152	423
2.3701779750	1793	457	457	152	423
2.8422567930	1793	457	457	152	423
3.3143000920	1793	457	457	152	423
3.7868687640	1793	457	457	152	423
4.2596382980	1793	457	457	152	423
4.7310472920	1793	457	457	152	423
5.2032362190	1755	457	457	152	423
5.6760790950	1793	457	457	152	423
6.1479888530	1793	457	457	152	423
6.6202740010	1793	457	457	152	423
7.0916322720	1793	457	457	152	423
7.5640421860	1793	457	457	152	423
8.0360064370	1793	457	457	152	423
8.5088742360	1831	457	457	152	423
8.9801190640	1831	457	457	152	423
9.4531915010	1831	457	457	152	423
9.9244047110	1793	457	457	152	423
10.3963866540	1793	457	457	152	423
10.8685795080	1793	457	457	152	423
11.3407253530	1793	457	457	152	423
11.8126028460	1831	457	457	152	423
12.2855597580	1831	457	457	152	423
12.7580157750	1869	457	457	152	423
13.2292976520	1831	457	457	152	423
13.7016151720	1831	457	457	152	423
14.1744980020	1831	457	457	152	423
14.6465326100	1793	457	457	152	423
15.1188671840	1831	457	457	152	423
15.5903571200	1831	457	457	152	423
16.0625230210	1831	457	457	152	423
16.5348353530	1831	457	457	152	423
17.0069112040	1831	457	457	152	423
17.4789831520	1831	457	457	152	423
17.9512244730	1831	457	457	152	423
18.4232434270	1908	457	457	152	423
18.8961859280	2175	457	457	152	423
19.3680334580	2289	457	457	152	423
19.8406464540	2518	457	686	152	442
20.3147310290	2136	457	610	152	442
20.7867095630	1946	457	534	152	423
21.2587964480	1869	457	457	152	423
21.7302682630	1831	457	457	152	423
22.2022922990	1793	457	457	152	423
22.6752960410	1793	457	457	152	423
23.1474034990	1793	457	457	152	423
23.6187238870	1831	457	457	152	423
24.0908896470	1831	457	457	152	423
24.5630338070	1831	457	457	152	423
25.0353492930	1831	457	457	152	423
25.5074388910	1831	457	457	152	423
25.9795752080	1869	457	457	152	423
26.4523103060	1831	457	457	152	423
26.9243102060	1831	457	457	152	423
27.3955898210	1831	457	457	152	423
27.8677956060	1831	457	457	152	423
28.3402012310	1831	457	457	152	423
28.8127189820	1831	457	457	152	423
29.2848820780	1831	457	457	152	423
29.7568979410	1831	457	457	152	423
30.2282876630	1831	457	457	152	423
30.7003519410	1831	457	457	152	423
31.1725633850	1793	457	457	152	423
31.6453611630	1793	457	457	152	423
32.1173522230	1793	457	457	152	423
32.5889146120	1793	457	457	152	423
33.0609223100	1793	457	457	152	423
33.5332693020	1793	457	457	152	423
34.0056372540	1793	457	457	152	423
34.4777621340	1793	457	457	152	423
34.9501013800	1793	457	457	152	423
35.4223412980	1793	457	457	152	423
35.8943782710	1793	457	457	152	423
36.3672614500	1793	457	457	152	423
36.8392120220	1793	457	457	152	423
37.3107116840	1793	457	457	152	423
37.7828366860	1793	457	457	152	423
38.2547760890	1793	457	457	152	423
38.7270192020	1793	457	457	152	423
39.1999066630	1793	457	457	152	423
39.6718324310	1793	457	457	152	423
40.1432921530	1793	457	457	152	423
40.6154800310	1793	457	457	152	423
41.0875475240	1793	457	457	152	423
41.5604853500	1793	457	457	152	423
42.0324334830	1793	457	457	152	423
42.5043234070	1831	457	457	152	423
42.9756718920	1793	457	457	152	423
43.4478296860	1793	457	457	152	423
43.9200723750	1793	457	457	152	423
44.3923051430	1793	457	457	152	423
44.8650129800	1793	457	457	152	423
45.3366162450	1793	457	457	152	423
45.8094455520	1793	457	457	152	423
46.2807094890	1793	457	457	152	423
46.7529867650	1793	457	457	152	423
47.2258968700	1793	457	457	152	423
47.6980493130	1793	457	457	152	423
48.1694119670	1793	457	457	152	423
48.6416359280	1793	457	457	152	423
49.1137138410	1793	457	457	152	423
49.5874891870	2213	534	457	228	634
50.0584987830	2556	534	381	763	576
50.5304530150	2937	534	228	1373	519
51.0033176420	3089	534	228	1525	500
51.4754071360	3127	534	228	1602	500
51.9464894010	3127	534	228	1602	500
52.4194005220	3127	534	228	1602	500
52.8907323840	3127	534	228	1602	500
53.3627326910	3127	534	228	1602	500
53.8354114590	3127	534	228	1602	500
54.3068192550	3127	533	228	1602	500
54.7794840690	3165	533	228	1602	500
55.2510323440	3165	533	228	1602	500
55.7236972520	3165	534	228	1602	500
56.1950996700	3127	533	228	1602	500
56.6677742090	3127	534	228	1602	500
57.1391332010	3165	533	228	1602	500
57.6119925380	3165	534	228	1602	500
58.0833788890	3204	533	228	1602	500
58.5560005300	3165	533	228	1602	500
59.0272831670	3165	533	228	1602	500
59.4997393350	3165	533	228	1602	500
59.9716179050	3165	533	228	1602	500
60.4436878650	3165	533	228	1602	500
