TIME	TOTAL	SOC	CPU	GPU	DDR
.0097907120	2937	534	381	915	730
.4815608000	2327	534	457	381	634
.9537232700	1946	457	457	228	480
1.4258902190	1869	457	457	152	442
1.8983491990	1831	457	457	152	423
2.3705574900	1793	457	457	152	423
2.8428135570	1793	457	457	152	423
3.3151248230	1793	457	457	152	423
3.7878000550	1793	457	457	152	423
4.2598160240	1793	457	457	152	423
4.7322359590	1793	457	457	152	423
5.2054625150	1793	457	457	152	423
5.6768937170	1755	457	457	152	423
6.1490962110	1755	457	457	152	423
6.6221459010	1793	457	457	152	423
7.0936777720	1793	457	457	152	423
7.5668266920	1793	457	457	152	423
8.0387501120	1793	457	457	152	423
8.5109792910	1793	457	457	152	423
8.9827419110	1793	457	457	152	423
9.4547147050	1793	457	457	152	423
9.9270084250	1793	457	457	152	423
10.3992176650	1793	457	457	152	423
10.8714918320	1793	457	457	152	423
11.3436737740	1755	457	457	152	423
11.8160523550	1793	457	457	152	423
12.2881735290	1793	457	457	152	423
12.7610113060	1831	457	457	152	423
13.2331583340	1793	457	457	152	423
13.7062492300	1793	457	457	152	423
14.1784536320	1793	457	457	152	423
14.6497632850	1793	457	457	152	423
15.1218250630	1793	457	457	152	423
15.5944118300	1793	457	457	152	423
16.0672900500	1793	457	457	152	423
16.5384898770	1793	457	457	152	423
17.0110821140	1793	457	457	152	423
17.4839707330	1793	457	457	152	423
17.9555016600	1793	457	457	152	423
18.4277445520	1793	457	457	152	423
18.9007819040	1793	457	457	152	423
19.3722904940	1793	457	457	152	423
19.8445545680	1793	457	457	152	423
20.3169311210	1793	457	457	152	423
20.7892312250	1793	457	457	152	423
21.2615067210	1793	457	457	152	423
21.7344699890	1793	457	457	152	423
22.2056884320	1793	457	457	152	423
22.6784013000	1793	457	457	152	423
23.1506795130	1793	457	457	152	423
23.6229166380	1793	457	457	152	423
24.0952184330	1793	457	457	152	423
24.5684405450	1793	457	457	152	423
25.0395024400	1793	457	457	152	423
25.5118239140	1793	457	457	152	423
25.9842170340	1793	457	457	152	423
26.4570106640	1793	457	457	152	423
26.9285682350	1793	457	457	152	423
27.4007176110	1793	457	457	152	423
27.8730105690	1793	457	457	152	423
28.3451402630	1793	457	457	152	423
28.8175489960	1793	457	457	152	423
29.2898371200	1793	457	457	152	423
29.7623266190	1793	457	457	152	423
30.2341425200	1793	457	457	152	423
30.7063705150	1793	457	457	152	423
31.1787066040	1793	457	457	152	423
31.6510823410	1793	457	457	152	423
32.1233193890	1793	457	457	152	423
32.5954932700	1793	457	457	152	423
33.0685251930	1831	457	457	152	423
33.5407776000	1793	457	457	152	423
34.0120687620	1793	457	457	152	423
34.4842629270	1793	457	457	152	423
34.9570888330	1793	457	457	152	423
35.4290798630	1831	457	457	152	423
35.9019843590	1831	457	457	152	423
36.3742045700	1831	457	457	152	423
36.8458141900	1831	457	457	152	423
37.3187772770	1831	457	457	152	423
37.7910008770	1831	457	457	152	423
38.2623949450	1831	457	457	152	423
38.7345476010	1831	457	457	152	423
39.2068621430	1831	457	457	152	423
39.6795942830	1831	457	457	152	423
40.1522986460	1831	457	457	152	423
40.6240512370	1831	457	457	152	423
41.0954309650	1831	457	457	152	423
41.5676910090	1831	457	457	152	423
42.0400177070	1831	457	457	152	423
42.5128534590	1793	457	457	152	423
42.9842888310	1793	457	457	152	423
43.4564931280	1793	457	457	152	423
43.9291569110	1793	457	457	152	423
44.4014704540	1793	457	457	152	423
44.8745770810	1793	457	457	152	423
45.3462872980	1793	457	457	152	423
45.8181851930	1793	457	457	152	423
46.2903386060	1793	457	457	152	423
46.7633070240	1793	457	457	152	423
47.2347441510	1793	457	457	152	423
47.7070591610	1793	457	457	152	423
48.1799838970	1793	457	457	152	423
48.6514271660	1793	457	457	152	423
49.1235579510	1793	457	457	152	423
49.5958234560	1793	457	457	152	423
50.0680106560	1793	457	457	152	423
50.5402843510	1793	457	457	152	423
51.0125324780	1793	457	457	152	423
51.4849967950	1793	457	457	152	423
51.9580111250	1793	457	457	152	423
52.4295772360	1793	457	457	152	423
52.9026356930	1793	457	457	152	423
53.3740653240	1793	457	457	152	423
53.8461392070	1793	457	457	152	423
54.3183952650	1793	457	457	152	423
54.7912863600	1793	457	457	152	423
55.2634356650	1793	457	457	152	423
55.7353463150	1793	457	457	152	423
56.2072909160	1793	457	457	152	423
56.6802334640	1831	457	457	152	423
57.1515817780	1793	457	457	152	423
57.6237444240	1793	457	457	152	423
58.0959677090	1793	457	457	152	423
58.5681197300	1793	457	457	152	423
59.0414658570	1793	457	457	152	423
59.5128996400	1793	457	457	152	423
59.9859686780	1793	457	457	152	423
60.4573656920	1793	457	457	152	423
60.9299432760	1793	457	457	152	423
61.4018741100	1793	457	457	152	423
