TIME	TOTAL	SOC	CPU	GPU	DDR
.0099541380	2442	534	457	534	576
.4820533350	2060	457	457	305	480
.9540063880	1908	457	457	152	442
1.4261663200	1869	457	457	152	423
1.8988777680	1831	457	457	152	423
2.3710230420	1831	457	457	152	423
2.8424778530	1831	457	457	152	423
3.3145248220	1831	457	457	152	423
3.7867872440	1831	457	457	152	423
4.2590052190	1793	457	457	152	423
4.7313308070	1793	457	457	152	423
5.2033698050	1793	457	457	152	423
5.6756081600	1831	457	457	152	423
6.1479378110	1869	457	457	152	423
6.6206505630	1831	457	457	152	423
7.0922529190	1831	457	457	152	423
7.5643994310	1831	457	457	152	423
8.0371698130	1831	457	457	152	423
8.5094349480	1869	457	457	152	423
8.9814684990	1831	457	457	152	423
9.4536018560	1831	457	457	152	423
9.9251807830	1831	457	457	152	423
10.3977094020	1831	457	457	152	423
10.8697351410	1831	457	457	152	423
11.3421617110	2060	534	457	152	557
11.8139066500	2594	534	305	915	538
12.2864232980	2975	534	228	1373	519
12.7586547930	3089	534	228	1525	500
