case,GPU_NO,Runtime
case19,0,2326.34
case19,0,2323.77
case19,0,2323.63
case19,0,2325.79
case19,0,2326.47
case19,0,2324.1
case19,0,2322.66
case19,0,2321.23
case19,0,2317.39
case19,0,2317.85
case19,0,2318.5
case19,0,2326.16
case19,0,2323.12
case19,0,2316.85
case19,0,2331.01
case19,0,2325.75
case19,0,2319.89
case19,0,2321.87
case19,0,2327.97
case19,0,2322.2
case19,0,2325.13
case19,0,2286.63
case19,0,2287.51
case19,0,2289.71
case19,0,2303.79
case19,0,2304.87
case19,0,2305.52
case19,0,2308.06
case19,0,2308.56
case19,0,2308.5
case19,0,2308.85
case19,0,2311.63
case19,0,2310.82
case19,0,2312.1
case19,0,2311.26
case19,0,2311.43
case19,0,2311.67
case19,0,2312.49
case19,0,2322.77
case19,0,2326.76
case19,0,2326.75
case19,0,2325.49
case19,0,2325.84
case19,0,2326.37
case19,0,2326.38
case19,0,2326.51
case19,0,2326.33
case19,0,2327.24
case19,0,2327.71
case19,0,2327.56
case19,0,2327.46
case19,0,2327.8
case19,0,2326.17
case19,0,2328.46
case19,0,2326.78
case19,0,2326.7
case19,0,2326.92
case19,0,2326.97
case19,0,2327.63
case19,0,2327.86
case19,0,2328.11
case19,0,2328.15
case19,0,2335.85
case19,0,2328.49
case19,0,2328.7
case19,0,2328.09
case19,0,2327.5
case19,0,2327.64
case19,0,2327.86
case19,0,2328.13
case19,0,2328.4
case19,0,2328.78
case19,0,2327.68
case19,0,2327.37
case19,0,2327.53
case19,0,2327.7
case19,0,2324.73
case19,0,2328.25
case19,0,2328.45
case19,0,2327.87
case19,0,2328.52
case19,0,2328.76
case19,0,2327.23
case19,0,2327.39
case19,0,2328.12
case19,0,2327.56
case19,0,2329.1
case19,0,2328.95
case19,0,2328.2
case19,0,2327.99
case19,0,2329.08
case19,0,2329.14
case19,0,2329.21
case19,0,2327.74
case19,0,2327.64
case19,0,2327.95
case19,0,2328.92
case19,0,2329.57
case19,0,2328.47
case19,0,2327.99
case19,0,2328.46
case19,0,2328.42
case19,0,2328
case19,0,2328.03
case19,0,2328.41
case19,0,2327.37
case19,0,2327.07
case19,0,2327.56
case19,0,2327.47
case19,0,2324.44
case19,0,2328.54
case19,0,2328.24
case19,0,2328.07
case19,0,2328.22
case19,0,2329
case19,0,2327.64
case19,0,2327.61
case19,0,2327.39
case19,0,2327.56
case19,0,2328.18
case19,0,2328.55
case31,2,2238.96
case31,2,2245.98
case31,2,2249.35
case31,2,2255.77
case31,2,2257.17
case31,2,2259.33
case31,2,2260.38
case31,2,2262.43
case31,2,2261.91
case31,2,2262.29
case31,2,2263.32
case31,2,2263.43
case31,2,2262.54
case31,2,2263.79
case31,2,2263.05
case31,2,2264.9
case31,2,2265.68
case31,2,2265.33
case31,2,2265.55
case31,2,2265.23
case31,2,2265.82
case31,2,2264.7
case31,2,2265.17
case31,2,2265.35
case31,2,2266.09
