TIME	TOTAL	SOC	CPU	GPU	DDR
.0083686640	3585	610	915	762	903
.4798341070	3165	610	991	381	846
.9509324170	2975	610	1067	228	807
1.4228444820	2937	610	1067	152	807
1.8944068220	2937	610	1067	152	788
2.3661796580	2937	610	1067	152	788
2.8379314390	2937	610	1067	152	788
3.3099990580	2900	610	1068	152	788
3.7811879330	2900	610	1068	152	788
4.2528082620	2898	610	1068	152	788
4.7245605910	2937	610	1067	152	788
5.1967428050	2937	610	1067	152	788
5.6684797440	2938	610	1068	152	788
6.1395530730	2898	610	1068	152	788
6.6114091810	2898	610	1068	152	788
7.0840229470	3127	610	1067	228	903
7.5548566650	4195	610	610	1677	884
8.0264989850	4651	609	381	2363	884
